genome_id,genome_name,antibiotic,resistant_phenotype,label,organism
562.70789,Escherichia coli strain Escherichia_coli_BgEED10,trimethoprim,susceptible,0,Escherichia coli
562.48220,Escherichia coli strain Escherichia coli str. TO6,ampicillin,resistant,1,Escherichia coli
562.48220,Escherichia coli strain Escherichia coli str. TO6,ciprofloxacin,susceptible,0,Escherichia coli
562.48220,Escherichia coli strain Escherichia coli str. TO6,gentamicin,susceptible,0,Escherichia coli
562.48220,Escherichia coli strain Escherichia coli str. TO6,imipenem,susceptible,0,Escherichia coli
562.48220,Escherichia coli strain Escherichia coli str. TO6,tetracycline,resistant,1,Escherichia coli
562.48220,Escherichia coli strain Escherichia coli str. TO6,trimethoprim,resistant,1,Escherichia coli
562.48221,Escherichia coli strain Escherichia coli str. TO73,ampicillin,resistant,1,Escherichia coli
562.48221,Escherichia coli strain Escherichia coli str. TO73,ciprofloxacin,resistant,1,Escherichia coli
562.48221,Escherichia coli strain Escherichia coli str. TO73,gentamicin,susceptible,0,Escherichia coli
562.48221,Escherichia coli strain Escherichia coli str. TO73,imipenem,susceptible,0,Escherichia coli
562.48221,Escherichia coli strain Escherichia coli str. TO73,tetracycline,resistant,1,Escherichia coli
562.48221,Escherichia coli strain Escherichia coli str. TO73,trimethoprim,susceptible,0,Escherichia coli
562.48222,Escherichia coli strain Escherichia coli str. TO60,ampicillin,resistant,1,Escherichia coli
562.48222,Escherichia coli strain Escherichia coli str. TO60,ciprofloxacin,resistant,1,Escherichia coli
562.48222,Escherichia coli strain Escherichia coli str. TO60,gentamicin,resistant,1,Escherichia coli
562.48222,Escherichia coli strain Escherichia coli str. TO60,imipenem,susceptible,0,Escherichia coli
562.48222,Escherichia coli strain Escherichia coli str. TO60,tetracycline,resistant,1,Escherichia coli
562.48222,Escherichia coli strain Escherichia coli str. TO60,trimethoprim,resistant,1,Escherichia coli
562.48223,Escherichia coli strain Escherichia coli str. TO124,ampicillin,resistant,1,Escherichia coli
